datetime,open,high,low,close,volume,amount
2026-03-27 09:35:00,7.46,7.64,7.41,7.6,259050,195591392.0
2026-03-27 09:40:00,7.61,7.67,7.61,7.66,85788,65498826.0
2026-03-27 09:45:00,7.66,7.69,7.63,7.63,53146,40722849.0
2026-03-27 09:50:00,7.63,7.65,7.59,7.61,76015,57887708.0
2026-03-27 09:55:00,7.6,7.75,7.6,7.74,58374,44823847.0
2026-03-27 10:00:00,7.74,7.76,7.71,7.74,39503,30550809.0
2026-03-27 10:05:00,7.73,7.76,7.71,7.74,33819,26159736.0
2026-03-27 10:10:00,7.73,7.78,7.72,7.78,24311,18842373.0
2026-03-27 10:15:00,7.78,7.79,7.76,7.76,25382,19723594.0
2026-03-27 10:20:00,7.77,7.77,7.74,7.75,24087,18673411.0
2026-03-27 10:25:00,7.76,7.8,7.73,7.79,32100,24911826.0
2026-03-27 10:30:00,7.79,7.83,7.79,7.82,34304,26775922.0
2026-03-27 10:35:00,7.83,7.85,7.8,7.85,27260,21316051.0
2026-03-27 10:40:00,7.85,7.88,7.85,7.87,38075,29949935.0
2026-03-27 10:45:00,7.87,7.88,7.84,7.88,25094,19728674.0
2026-03-27 10:50:00,7.88,7.93,7.88,7.9,49299,38966131.0
2026-03-27 10:55:00,7.9,7.92,7.89,7.92,19893,15736664.0
2026-03-27 11:00:00,7.92,7.93,7.88,7.89,37101,29334996.0
2026-03-27 11:05:00,7.89,7.92,7.89,7.9,16494,13039711.0
2026-03-27 11:10:00,7.91,7.91,7.88,7.89,14775,11658274.0
2026-03-27 11:15:00,7.89,7.93,7.88,7.92,18769,14847310.0
2026-03-27 11:20:00,7.93,7.94,7.91,7.92,25682,20355510.0
2026-03-27 11:25:00,7.93,7.94,7.91,7.94,11623,9214231.0
2026-03-27 11:30:00,7.94,7.95,7.93,7.95,15129,12014432.0
2026-03-27 13:05:00,7.95,8.03,7.95,8.01,63869,51066800.0
2026-03-27 13:10:00,8.01,8.06,7.99,8.05,46639,37403403.0
2026-03-27 13:15:00,8.04,8.05,8.03,8.04,31690,25478009.0
2026-03-27 13:20:00,8.04,8.06,8.02,8.04,22943,18456494.0
2026-03-27 13:25:00,8.04,8.04,7.98,7.98,24014,19242295.0
2026-03-27 13:30:00,7.98,8.01,7.97,7.98,33450,26737532.0
2026-03-27 13:35:00,7.99,8.02,7.98,7.99,20962,16773060.0
2026-03-27 13:40:00,8.0,8.0,7.99,7.99,10002,7995647.0
2026-03-27 13:45:00,8.0,8.02,7.98,7.98,16799,13441440.0
2026-03-27 13:50:00,7.99,7.99,7.97,7.97,11448,9137113.0
2026-03-27 13:55:00,7.97,7.98,7.95,7.96,19115,15228864.0
2026-03-27 14:00:00,7.96,7.98,7.94,7.94,18248,14524084.0
2026-03-27 14:05:00,7.94,7.95,7.93,7.94,8954,7107783.0
2026-03-27 14:10:00,7.93,7.95,7.91,7.94,19267,15279975.0
2026-03-27 14:15:00,7.94,7.98,7.94,7.97,11742,9349999.0
2026-03-27 14:20:00,7.97,7.97,7.95,7.96,11104,8839928.0
2026-03-27 14:25:00,7.97,7.97,7.95,7.96,9037,7193172.0
2026-03-27 14:30:00,7.96,7.97,7.94,7.94,11263,8961481.0
2026-03-27 14:35:00,7.94,7.96,7.94,7.95,17137,13622093.0
2026-03-27 14:40:00,7.95,7.96,7.95,7.95,10681,8493949.0
2026-03-27 14:45:00,7.96,7.96,7.94,7.94,16972,13495588.0
2026-03-27 14:50:00,7.94,7.96,7.94,7.95,24435,19430656.0
2026-03-27 14:55:00,7.95,7.96,7.94,7.94,27922,22183835.0
2026-03-27 15:00:00,7.93,7.95,7.93,7.95,20403,16214100.0
2026-03-30 09:35:00,7.91,8.08,7.85,8.06,166343,132636775.0
2026-03-30 09:40:00,8.06,8.08,8.03,8.05,108500,87426911.0
2026-03-30 09:45:00,8.05,8.06,8.0,8.05,62430,50135124.0
2026-03-30 09:50:00,8.04,8.05,7.96,7.96,56818,45345540.0
2026-03-30 09:55:00,7.96,7.97,7.93,7.93,37150,29519825.0
2026-03-30 10:00:00,7.93,7.95,7.9,7.91,44387,35199864.0
2026-03-30 10:05:00,7.9,7.93,7.89,7.91,31148,24624808.0
2026-03-30 10:10:00,7.91,7.92,7.88,7.88,19826,15652916.0
2026-03-30 10:15:00,7.88,7.91,7.86,7.88,23640,18634358.0
2026-03-30 10:20:00,7.88,7.89,7.86,7.86,31660,24908775.0
2026-03-30 10:25:00,7.86,7.88,7.85,7.88,19913,15654648.0
2026-03-30 10:30:00,7.87,7.9,7.87,7.9,14248,11231078.0
2026-03-30 10:35:00,7.9,7.93,7.86,7.89,16255,12834380.0
2026-03-30 10:40:00,7.88,7.9,7.86,7.87,12317,9703084.0
2026-03-30 10:45:00,7.87,7.91,7.86,7.91,17260,13615369.0
2026-03-30 10:50:00,7.91,7.93,7.9,7.93,12486,9880958.0
2026-03-30 10:55:00,7.93,7.96,7.91,7.95,17377,13786007.0
2026-03-30 11:00:00,7.95,7.95,7.9,7.92,8835,7006755.0
2026-03-30 11:05:00,7.91,7.96,7.91,7.96,16500,13100227.0
2026-03-30 11:10:00,7.96,8.0,7.95,7.99,20820,16616074.0
2026-03-30 11:15:00,8.0,8.01,7.98,7.99,15568,12456573.0
2026-03-30 11:20:00,7.99,8.02,7.99,8.0,25254,20208908.0
2026-03-30 11:25:00,8.0,8.03,7.99,8.03,11554,9263065.0
2026-03-30 11:30:00,8.03,8.03,8.01,8.02,18166,14567976.0
2026-03-30 13:05:00,8.04,8.04,7.99,8.02,37040,29691793.0
2026-03-30 13:10:00,8.02,8.02,7.97,7.99,10444,8349662.0
2026-03-30 13:15:00,7.98,8.01,7.97,7.98,11804,9428036.0
2026-03-30 13:20:00,7.98,7.99,7.98,7.99,5497,4389721.0
2026-03-30 13:25:00,7.98,8.0,7.98,7.98,7709,6159464.0
2026-03-30 13:30:00,7.99,8.01,7.98,7.99,13817,11041966.0
2026-03-30 13:35:00,7.98,8.0,7.96,7.99,17271,13784970.0
2026-03-30 13:40:00,8.0,8.0,7.95,7.95,13555,10805459.0
2026-03-30 13:45:00,7.96,7.97,7.94,7.95,17126,13624759.0
2026-03-30 13:50:00,7.95,7.97,7.94,7.97,9369,7451683.0
2026-03-30 13:55:00,7.98,8.01,7.97,8.0,13834,11056594.0
2026-03-30 14:00:00,8.0,8.01,7.99,8.01,6667,5336188.0
2026-03-30 14:05:00,8.0,8.03,8.0,8.03,15014,12032826.0
2026-03-30 14:10:00,8.03,8.05,8.01,8.03,24965,20057119.0
2026-03-30 14:15:00,8.04,8.04,8.01,8.03,15342,12322187.0
2026-03-30 14:20:00,8.03,8.04,8.02,8.03,10348,8309178.0
2026-03-30 14:25:00,8.03,8.04,8.02,8.02,5879,4721640.0
2026-03-30 14:30:00,8.02,8.04,8.02,8.02,10444,8386038.0
2026-03-30 14:35:00,8.03,8.04,8.02,8.04,16615,13345255.0
2026-03-30 14:40:00,8.04,8.05,8.03,8.03,26502,21309353.0
2026-03-30 14:45:00,8.03,8.04,8.02,8.04,13286,10667591.0
2026-03-30 14:50:00,8.04,8.04,8.03,8.04,17488,14051318.0
2026-03-30 14:55:00,8.04,8.05,8.03,8.04,31029,24949779.0
2026-03-30 15:00:00,8.04,8.05,8.03,8.04,16494,13260297.0
2026-03-31 09:35:00,8.04,8.1,7.98,7.99,87736,70474000.0
2026-03-31 09:40:00,7.99,8.04,7.98,8.03,42404,33966214.0
2026-03-31 09:45:00,8.03,8.07,8.02,8.06,42419,34118590.0
2026-03-31 09:50:00,8.07,8.07,8.0,8.03,37673,30264524.0
2026-03-31 09:55:00,8.03,8.07,8.0,8.06,40595,32656477.0
2026-03-31 10:00:00,8.07,8.08,8.05,8.06,25041,20187608.0
2026-03-31 10:05:00,8.07,8.07,8.01,8.02,26887,21590368.0
2026-03-31 10:10:00,8.02,8.03,7.99,8.02,33045,26456106.0
2026-03-31 10:15:00,8.01,8.03,8.0,8.0,15577,12480403.0
2026-03-31 10:20:00,8.01,8.01,7.96,7.96,35201,28132408.0
2026-03-31 10:25:00,7.98,7.99,7.95,7.95,21860,17410848.0
2026-03-31 10:30:00,7.96,7.98,7.95,7.96,11130,8864862.0
2026-03-31 10:35:00,7.97,7.98,7.92,7.93,30213,24017058.0
2026-03-31 10:40:00,7.93,7.94,7.92,7.92,13207,10469257.0
2026-03-31 10:45:00,7.93,7.93,7.88,7.9,36675,28984387.0
2026-03-31 10:50:00,7.9,7.91,7.86,7.87,26940,21225351.0
2026-03-31 10:55:00,7.86,7.9,7.86,7.88,14396,11341900.0
2026-03-31 11:00:00,7.89,7.89,7.86,7.87,11061,8708787.0
2026-03-31 11:05:00,7.86,7.88,7.85,7.88,12418,9764401.0
2026-03-31 11:10:00,7.88,7.88,7.86,7.86,6996,5503305.0
2026-03-31 11:15:00,7.86,7.87,7.85,7.86,9755,7668845.0
2026-03-31 11:20:00,7.86,7.86,7.84,7.84,20814,16335504.0
2026-03-31 11:25:00,7.84,7.86,7.83,7.83,14283,11202151.0
