datetime,open,high,low,close,volume,amount
2004-04-20,13.88,15.02,13.6,15.0,469951,0.0
2004-04-21,14.8,15.05,14.39,14.81,107589,0.0
2004-04-22,14.68,14.85,13.88,14.0,87906,0.0
2004-04-23,13.99,14.35,13.62,14.15,44452,0.0
2004-04-26,14.3,14.58,13.78,14.23,33751,0.0
2004-04-27,14.18,14.18,13.43,13.6,46896,0.0
2004-04-28,14.18,14.6,13.9,13.95,71813,0.0
2004-04-29,13.98,14.06,13.2,13.31,46026,0.0
2004-04-30,13.34,14.3,13.34,13.95,50159,0.0
2004-05-10,13.98,14.2,13.65,13.73,31307,0.0
2004-05-11,13.67,14.38,13.66,14.22,46851,0.0
2004-05-12,14.22,14.64,14.12,14.58,57315,0.0
2004-05-13,14.45,14.98,14.33,14.64,65438,0.0
2004-05-14,14.65,14.67,14.2,14.35,39933,0.0
2004-05-17,14.25,14.6,14.2,14.44,33744,0.0
2004-05-18,14.45,14.88,14.3,14.48,41693,0.0
2004-05-19,14.5,14.55,13.81,13.88,47445,0.0
2004-05-20,13.85,13.98,13.52,13.75,27633,0.0
2004-05-21,13.7,13.9,13.58,13.82,12343,0.0
2004-05-24,13.8,13.86,13.59,13.61,16526,0.0
2004-05-25,13.6,13.8,13.29,13.5,12113,0.0
2004-05-26,13.5,13.8,13.41,13.66,7025,0.0
2004-05-27,13.76,14.4,13.53,14.19,29399,0.0
2004-05-28,14.18,14.25,13.9,13.95,15981,0.0
2004-05-31,13.95,14.27,13.91,14.2,20991,0.0
2004-06-01,14.25,15.49,14.2,15.28,98552,0.0
2004-06-02,15.2,15.54,14.95,15.29,92423,0.0
2004-06-03,15.21,15.3,14.77,14.93,45858,0.0
2004-06-04,14.91,14.91,14.5,14.69,26587,0.0
2004-06-07,14.6,14.89,14.52,14.75,16793,0.0
2004-06-08,14.75,14.85,14.05,14.2,23829,0.0
2004-06-09,14.05,14.36,13.63,13.77,21182,0.0
2004-06-10,13.7,13.85,13.2,13.4,33860,0.0
2004-06-11,13.41,14.1,13.41,13.7,18513,0.0
2004-06-14,13.6,13.9,13.35,13.54,11895,0.0
2004-06-15,13.6,13.82,13.36,13.8,20772,0.0
2004-06-16,13.7,13.91,13.65,13.69,9825,0.0
2004-06-17,13.71,13.85,13.41,13.44,13212,0.0
2004-06-18,13.44,13.68,12.42,12.6,50168,0.0
